City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Ahmedabad,61.25,101,1.27,13.53,8.23,11.77,0.1,16.1,161.22,31.9,1015.35,35.3,2.46
Ahmedabad,53.75,95.75,1.12,14.28,8.5,10.32,0.1,15.62,156.3,29.9,1013.29,35.3,2.88
Ahmedabad,60.5,106,1.03,16.72,9.72,11.15,0.1,14.75,163.15,29.8,1013.39,35.3,4.46
Ahmedabad,78,136.5,2.07,26.88,15.93,10.77,0.1,15.4,159.25,30.4,1013.45,35.3,5.66
Ahmedabad,85.75,152,1.52,16.25,9.88,11.55,0.1,12.65,127.38,31.1,1013.4,35.3,12.96
Ahmedabad,70,129.75,1.37,16.7,9.98,10.9,0.1,10.98,107.3,32.9,1013.81,35.2,12.25
Ahmedabad,61,99,1.37,10.8,6.87,11.37,0.1,11.03,117.12,35,1014.7,35.3,9.5
Ahmedabad,60,98.75,1.27,10.35,6.55,11.98,0.1,11.08,112.67,37.7,1014.67,35.5,7.46
Ahmedabad,67,104.25,0.5,17.88,9.98,11.4,0.1,11.92,94.07,36,1014.66,35.5,10.71
Ahmedabad,70,114,1.22,21.4,12.35,13.12,0.1,12.05,76.45,32.2,1014.8,35.6,5.25
Ahmedabad,83,122.5,0.72,13.93,8,16.7,0.1,9.88,102.9,32,1014.47,35.5,13.75
Ahmedabad,77.25,110.25,0.2,10.77,5.9,14.52,0.13,9.9,111.72,30.1,1014.16,35.3,9.17
Ahmedabad,89,116,0.62,13.7,7.72,16.03,0.13,10.15,90.68,29.6,1014.07,35.1,15.41
Ahmedabad,93.25,121,0.03,14.12,7.45,12.17,0.1,14.25,84.75,29.4,1013.34,35.1,16.17
Ahmedabad,84.75,113.5,0.25,12.2,6.7,10.38,0.1,15.6,103.88,32.5,1012.72,35,11.83
Ahmedabad,73.75,101,0.83,17.9,10.17,9.15,0.1,16.22,91.12,33.4,1012.38,35.3,6.34
Ahmedabad,71.75,108.75,3.12,28.7,17.78,9.17,0.1,14.47,75.48,27.6,1012.38,35.4,5.83
Ahmedabad,77.25,122.75,2.83,28.52,17.5,10.42,0.1,15.95,80.83,30,1012.72,35.5,12.79
Ahmedabad,75.5,119,2.4,19.12,12.12,10.38,0.1,19.25,106.32,33.5,1013.42,35.5,15.29
Ahmedabad,66,108,1.62,13.52,8.53,10.32,0.1,20.2,140.6,37.4,1014.41,35.4,16.5
Ahmedabad,60.25,103.75,0.83,13.87,8.05,10.75,0.1,15.22,148.95,44.3,1014.89,35.4,7.25
Ahmedabad,60.75,106.75,2.05,12.15,8.1,8.75,0.1,,149.95,44.5,1014.91,35.4,12.21
Ahmedabad,58.25,98.25,79.98,63.35,98.67,2.37,0.1,15.98,152.37,41.8,1014.75,35.3,7.67
Ahmedabad,54.5,92.75,1.2,12.7,7.77,11.25,0.1,15.8,153.85,36.9,1015.55,35.2,13.79
Ahmedabad,60.5,96.5,1.08,16.25,9.5,11.1,0.1,17.15,167.1,33.3,1015.7,35.1,17.83
Ahmedabad,68.75,115.5,1.4,17.6,10.48,12,0.08,18.72,185.7,35.5,1016.43,35,12.62
Ahmedabad,82.25,134.75,0.97,19.52,11.15,15.33,0.08,14.78,191.6,35.5,1016.56,35,8.87
Ahmedabad,95,149.75,1.87,29.95,17.45,11.7,0.13,15.33,162.67,41.7,1017.15,35,19.83
